CODIGO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
17015010,3,12.8,0,0,16.2,0,14.5,0,0.3,23.1,49,43.1,13.1,2,38.4,92.2,5.6,2.3,14.1,11.8,0,0,0,10.5,37.7,2.7,7.9,25.8,86.2,5.2,24
17025020,19.5,2.1,0,0,4.2,9.2,0,0,1.2,9.4,20.4,15.2,6.3,4.9,3.2,0.2,37,4.7,0.1,35.7,0.6,0,0,4.1,34.6,14.2,1.1,4.1,19.2,20.4,40.2
15015050,0.5,1.6,0,0,0,0,0,1.4,2.9,0.4,0.3,0,0,0,6.2,0.2,0.3,0,0.2,2.8,2.4,25,0.5,4,0,0,3.2,0.2,1,0.5,24.3
14015080,0,0,0,0,12.2,0.6,0,13.5,0.3,1.4,4.5,0,0,3.2,0.1,0,0,0,30.3,0.3,0,17.9,0.1,1,0,0,16.8,0,0,6.6,0.7
15065180,3,2.3,16,0,35,0,7.6,0,4.5,1.8,0,0,0,0,0,0.5,0,0,0,0,122,23.8,50.1,0,0,0,0,0,0,4.6,60.6
28025502,0,0,16.1,6.6,0,39.3,3.3,0.5,7.1,1.2,0,0,54.6,0,0.4,0,0,0,16.5,12,0.3,2,33.5,0.7,0,0,0,13.1,0,0.4,0
13035501,0,0,24.3,0,2.8,2.7,0,0.3,2.1,3.2,0,3.9,15.1,53.6,0,0,9.8,0,0,37.9,0,0,0.2,0,0.2,0.4,29.2,2,0,0.6,48.6
12015070,17.4,0,0,8.2,0.4,29.7,0.5,3.5,0,13.2,1.3,14.2,0,18.9,0,0.2,0,85,0,0,0,0,1,0,0,0.4,24.1,3.8,0,56.7,2.2
23155030,2.3,10.3,0,22.2,0,1.1,21.3,6.3,1,104.9,0,1.3,0.3,29.1,0.2,0,0,16.8,56.1,63.2,59.6,10.1,0.5,0,0,0,0,0.2,0,10.2,0
23195502,0,0,0,39.2,0,0,3,2.6,0.4,0.2,0,0,0.8,0.5,0.2,0.3,0,0,0,0,6.6,4.6,11.8,0,0,0,1.2,0,0,44.6,0
16015010,0,0,0.6,0.4,0,2.2,30.1,0,2.3,0,0,0,0.1,0,0,1.4,0,0,1.7,0,0.3,0.3,0,0,0.3,0,0,0,0,0,39.3
27015330,6.5,0.6,0,12,2.7,0,8,9.1,7.8,1.9,0,2.8,0,0,0.6,2,7.8,1,27.1,35.8,30.2,14.5,1.8,0,1.7,0.8,0,0,0,8,6
