CODIGO,date,value
17015010,2025-04-29,0
17025020,2025-04-29,0
15015050,2025-04-29,0
14015080,2025-04-29,0
15065180,2025-04-29,0
28025502,2025-04-29,0
13035501,2025-04-29,2.7
12015070,2025-04-29,12.3
23155030,2025-04-29,1.6
23195502,2025-04-29,2.6
16015010,2025-04-29,0
27015330,2025-04-29,23.6
23085270,2025-04-29,66.5
26155110,2025-04-29,3
26135040,2025-04-29,6.3
26125061,2025-04-29,59.9
21245040,2025-04-29,11.6
21205791,2025-04-29,8.1
21202280,2025-04-29,9.1
26075040,2025-04-29,4.2
21115020,2025-04-29,17.3
52045020,2025-04-29,6.2
52055230,2025-04-29,1.2
11045010,2025-04-29,37.6
53115010,2025-04-29,58
37055010,2025-04-29,42
38015030,2025-04-29,0.8
35035020,2025-04-29,50
34015010,2025-04-29,21
48015050,2025-04-29,6.3
26125120,2025-04-29,87.8
2120080,2025-04-29,8.5
2401042,2025-04-29,30.2
2120659,2025-04-29,4.2
2120629,2025-04-29,5.5
2120516,2025-04-29,
2401036,2025-04-29,15
2119514,2025-04-29,7
2306517,2025-04-29,7.1
2120112,2025-04-29,2.3
2120647,2025-04-29,
2306039,2025-04-29,44.4
2120646,2025-04-29,6.5
2119022,2025-04-29,
2306507,2025-04-29,48.5
2306033,2025-04-29,21.4
2120644,2025-04-29,16
2401043,2025-04-29,27.6
2401513,2025-04-29,26
2401115,2025-04-29,6.9
2120190,2025-04-29,
2120074,2025-04-29,18.7
2120652,2025-04-29,1.6
2120174,2025-04-29,3.5
2120166,2025-04-29,
2119046,2025-04-29,3
2120182,2025-04-29,
2120168,2025-04-29,7.5
2401037,2025-04-29,39
2401515,2025-04-29,3
2120540,2025-04-29,15.8
2306040,2025-04-29,30
2120077,2025-04-29,8
2123007,2025-04-29,
2401534,2025-04-29,26.5
26030150,2025-04-29,49.4
26020030,2025-04-29,15
25025080,2025-04-29,5.7
29015000,2025-04-29,0
29030050,2025-04-29,0
25025170,2025-04-29,5.3
25020140,2025-04-29,0
29040240,2025-04-29,7.5
29040230,2025-04-29,0
25025160,2025-04-29,14
25021350,2025-04-29,22.6
25025190,2025-04-29,27.1
29040310,2025-04-29,0
25020470,2025-04-29,5.9
12030010,2025-04-29,21
29035110,2025-04-29,0
14010050,2025-04-29,26.7
29035080,2025-04-29,0
14010010,2025-04-29,10
29040260,2025-04-29,0
29040250,2025-04-29,0
25021280,2025-04-29,12
29040300,2025-04-29,0
14010020,2025-04-29,15
29040020,2025-04-29,36.7
25020700,2025-04-29,17.3
25020960,2025-04-29,5
13015040,2025-04-29,17.1
29035040,2025-04-29,0
13090050,2025-04-29,7
13085010,2025-04-29,69.5
13075020,2025-04-29,6
13090040,2025-04-29,0
25025270,2025-04-29,2
13085030,2025-04-29,0
25025380,2025-04-29,38
12045020,2025-04-29,0
29040450,2025-04-29,0.1
25020760,2025-04-29,67
25025210,2025-04-29,8.9
25020950,2025-04-29,4
13075010,2025-04-29,8.5
12045010,2025-04-29,0
13030010,2025-04-29,57
25021370,2025-04-29,23
29035030,2025-04-29,0
29035000,2025-04-29,0
25025240,2025-04-29,0
29060090,2025-04-29,8
28040030,2025-04-29,0
28015070,2025-04-29,0
28040010,2025-04-29,0
28010360,2025-04-29,9
15060180,2025-04-29,0
15060040,2025-04-29,0
25020250,2025-04-29,2
15030010,2025-04-29,0
25021600,2025-04-29,0
1506500197,2025-04-29,0
28010340,2025-04-29,
15045010,2025-04-29,1
15075030,2025-04-29,0
15085030,2025-04-29,0.3
2804500195,2025-04-29,
29060040,2025-04-29,0
25025002,2025-04-29,32
15075501,2025-04-29,0
15010010,2025-04-29,10.4
15065501,2025-04-29,0
1501500196,2025-04-29,22.7
28040100,2025-04-29,0
29050020,2025-04-29,
15010501,2025-04-29,0
15010300,2025-04-29,0.5
25021240,2025-04-29,125
29060170,2025-04-29,0
29060210,2025-04-29,0
25020220,2025-04-29,17
25021500,2025-04-29,1
28010040,2025-04-29,1
25021630,2025-04-29,
28035020,2025-04-29,0
28035010,2025-04-29,
15085020,2025-04-29,0
